station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LFAT,LFAT,2019-09-12 00:00,64.40,62.60,93.88,270.00,9.00,0.00,30.27,M,6.21,M,BKN,OVC,M,M,700.00,1100.00,M,M,M,M,M,M,M,M,M,64.40,LFAT 120000Z AUTO 27009KT 240V300 9999 BKN007 OVC011 18/17 Q1025,M
LFAT,LFAT,2019-09-12 00:30,64.40,62.60,93.88,270.00,7.00,0.00,30.27,M,6.21,M,BKN,OVC,M,M,800.00,1300.00,M,M,M,M,M,M,M,M,M,64.40,LFAT 120030Z AUTO 27007KT 240V330 9999 BKN008 OVC013 18/17 Q1025,M
LFAT,LFAT,2019-09-12 01:00,64.40,62.60,93.88,270.00,8.00,0.00,30.27,M,4.97,M,OVC,M,M,M,600.00,M,M,M,M,M,M,M,M,M,M,64.40,LFAT 120100Z AUTO 27008KT 230V300 8000 OVC006 18/17 Q1025,M
LFAT,LFAT,2019-09-12 01:30,64.40,62.60,93.88,270.00,8.00,0.00,30.27,M,6.21,M,BKN,OVC,M,M,700.00,1500.00,M,M,M,M,M,M,M,M,M,64.40,LFAT 120130Z AUTO 27008KT 9999 BKN007 OVC015 18/17 Q1025,M
LFAT,LFAT,2019-09-12 02:00,64.40,62.60,93.88,270.00,7.00,0.00,30.30,M,6.21,M,SCT,BKN,OVC,M,800.00,1700.00,2400.00,M,M,M,M,M,M,M,M,64.40,LFAT 120200Z AUTO 27007KT 230V310 9999 SCT008 BKN017 OVC024 18/17 Q1026,M
LFAT,LFAT,2019-09-12 02:30,64.40,62.60,93.88,270.00,9.00,0.00,30.30,M,6.21,M,BKN,OVC,M,M,700.00,1400.00,M,M,M,M,M,M,M,M,M,64.40,LFAT 120230Z AUTO 27009KT 9999 BKN007 OVC014 18/17 Q1026,M
LFAT,LFAT,2019-09-12 03:00,64.40,62.60,93.88,270.00,8.00,0.00,30.30,M,6.21,M,BKN,OVC,M,M,600.00,1000.00,M,M,M,M,M,M,M,M,M,64.40,LFAT 120300Z AUTO 27008KT 240V310 9999 BKN006 OVC010 18/17 Q1026,M
LFAT,LFAT,2019-09-12 03:30,64.40,62.60,93.88,270.00,6.00,0.00,30.30,M,6.21,M,BKN,BKN,OVC,M,800.00,1500.00,3500.00,M,M,M,M,M,M,M,M,64.40,LFAT 120330Z AUTO 27006KT 230V310 9999 BKN008 BKN015 OVC035 18/17 Q1026,M
LFAT,LFAT,2019-09-12 04:00,64.40,62.60,93.88,270.00,7.00,0.00,30.30,M,6.21,M,BKN,OVC,M,M,900.00,1900.00,M,M,M,M,M,M,M,M,M,64.40,LFAT 120400Z AUTO 27007KT 9999 BKN009 OVC019 18/17 Q1026,M
LFAT,LFAT,2019-09-12 04:30,64.40,60.80,88.09,270.00,8.00,0.00,30.30,M,6.21,M,BKN,OVC,M,M,900.00,3500.00,M,M,M,M,M,M,M,M,M,64.40,LFAT 120430Z AUTO 27008KT 240V300 9999 BKN009 OVC035 18/16 Q1026,M
LFAT,LFAT,2019-09-12 05:00,64.40,60.80,88.09,270.00,9.00,0.00,30.30,M,6.21,M,BKN,BKN,M,M,1100.00,1800.00,M,M,M,M,M,M,M,M,M,64.40,LFAT 120500Z AUTO 27009KT 240V300 9999 BKN011 BKN018 18/16 Q1026,M
LFAT,LFAT,2019-09-12 05:30,64.40,60.80,88.09,270.00,7.00,0.00,30.33,M,6.21,M,FEW,OVC,M,M,1000.00,3400.00,M,M,M,M,M,M,M,M,M,64.40,LFAT 120530Z AUTO 27007KT 240V310 9999 FEW010 OVC034 18/16 Q1027 TEMPO BKN007,M
LFAT,LFAT,2019-09-12 06:00,62.60,59.00,88.00,300.00,8.00,0.00,30.33,M,6.21,M,FEW,SCT,BKN,M,1100.00,2200.00,2800.00,M,M,M,M,M,M,M,M,62.60,LFAT 120600Z AUTO 30008KT 260V330 9999 FEW011 SCT022 BKN028 17/15 Q1027 TEMPO BKN007,M
